c_value,delta_value,pearson_correlation,p-value
0.08,0.88,0.9495683259642964,5.537399397919638e-253
0.08,0.9,0.9287513673675216,9.124563446447122e-217
0.08,0.92,0.9455287169273525,7.135710055357634e-245
0.08,0.94,0.9298228375548466,2.405300407796616e-218
0.08,0.96,0.9168189448908182,1.095048000390328e-200
0.08,0.98,0.9242313976472717,2.2912643282700823e-210
0.1,0.6,0.9902820593549164,0.0
0.1,0.62,0.9911504038580468,0.0
0.1,0.64,0.9895762938909383,0.0
0.1,0.66,0.989748832172821,0.0
0.1,0.68,0.9898948801825792,0.0
0.1,0.7,0.9883205005238086,0.0
0.1,0.72,0.9869518483301283,0.0
0.1,0.74,0.9869818286831942,0.0
0.1,0.76,0.9861722946196532,0.0
0.1,0.78,0.9859606591807979,0.0
0.1,0.8,0.9837611519660991,0.0
0.1,0.82,0.9855902441772497,0.0
0.1,0.84,0.9846988258543702,0.0
0.1,0.86,0.9793949508309348,0.0
0.1,0.88,0.9796890930042161,0.0
0.1,0.9,0.9814950833304186,0.0
0.1,0.92,0.9753597855419559,0.0
0.1,0.94,0.9754403754406973,0.0
0.1,0.96,0.9743238071451149,0.0
0.1,0.98,0.9687775646813621,8.790621288250704e-304
0.12,0.6,0.9928980301815302,0.0
0.12,0.62,0.9926205349577784,0.0
0.12,0.64,0.9926004289294785,0.0
0.12,0.66,0.9925024183774963,0.0
0.12,0.68,0.9929295139664711,0.0
0.12,0.7,0.9920001474277541,0.0
0.12,0.72,0.9926969728014954,0.0
0.12,0.74,0.9908563675647957,0.0
0.12,0.76,0.9912490613680927,0.0
0.12,0.78,0.991498038591587,0.0
0.12,0.8,0.9906726303660618,0.0
0.12,0.82,0.9914792851569023,0.0
0.12,0.84,0.9902106405619651,0.0
0.12,0.86,0.9902532840000884,0.0
0.12,0.88,0.9897142437866723,0.0
0.12,0.9,0.9894892436176832,0.0
0.12,0.92,0.9890422794769045,0.0
0.12,0.94,0.9869312937529063,0.0
0.12,0.96,0.9870887201896397,0.0
0.12,0.98,0.9851945710853004,0.0
0.14,0.6,0.9930050082715347,0.0
0.14,0.62,0.9929570133185819,0.0
0.14,0.64,0.9936860237127523,0.0
0.14,0.66,0.9933304932657366,0.0
0.14,0.68,0.9937232677471959,0.0
0.14,0.7,0.9940957792302176,0.0
0.14,0.72,0.9937271992450889,0.0
0.14,0.74,0.9935671856443472,0.0
0.14,0.76,0.992948885824432,0.0
0.14,0.78,0.9927569857279392,0.0
0.14,0.8,0.9933569169368799,0.0
0.14,0.82,0.9929643979966254,0.0
0.14,0.84,0.9925310086977177,0.0
0.14,0.86,0.9926537868040869,0.0
0.14,0.88,0.9923514442271151,0.0
0.14,0.9,0.992968713494522,0.0
0.14,0.92,0.9929701712839683,0.0
0.14,0.94,0.9925136933989613,0.0
0.14,0.96,0.9915353750871536,0.0
0.14,0.98,0.991322377961382,0.0
0.16,0.6,0.9943139422812848,0.0
0.16,0.62,0.9933678450745205,0.0
0.16,0.64,0.9937174116856735,0.0
0.16,0.66,0.9936157738948759,0.0
0.16,0.68,0.993751997156501,0.0
0.16,0.7,0.9942529947817412,0.0
0.16,0.72,0.9942840921855012,0.0
0.16,0.74,0.9936433209744503,0.0
0.16,0.76,0.9944451382219633,0.0
0.16,0.78,0.9943048377882285,0.0
0.16,0.8,0.9943009767534978,0.0
0.16,0.82,0.9941244566041572,0.0
0.16,0.84,0.9942064179047065,0.0
0.16,0.86,0.9943958652184618,0.0
0.16,0.88,0.9935933722630764,0.0
0.16,0.9,0.9940986749109006,0.0
0.16,0.92,0.9930749714605587,0.0
0.16,0.94,0.9935584254777785,0.0
0.16,0.96,0.9941769921788917,0.0
0.16,0.98,0.9930649022641469,0.0
